Date,Team 1,FT,HT,Team 2
16/08/2024,Man United,1-0,0-0,Fulham
17/08/2024,Ipswich,0-2,0-0,Liverpool
17/08/2024,Arsenal,2-0,1-0,Wolves
17/08/2024,Everton,0-3,0-1,Brighton
17/08/2024,Newcastle,1-0,1-0,Southampton
17/08/2024,Nott'm Forest,1-1,1-0,Bournemouth
17/08/2024,West Ham,1-2,1-1,Aston Villa
18/08/2024,Brentford,2-1,1-0,Crystal Palace
18/08/2024,Chelsea,0-2,0-1,Man City
19/08/2024,Leicester,1-1,0-1,Tottenham
24/08/2024,Brighton,2-1,1-0,Man United
24/08/2024,Crystal Palace,0-2,0-0,West Ham
24/08/2024,Fulham,2-1,1-1,Leicester
24/08/2024,Man City,4-1,3-1,Ipswich
24/08/2024,Southampton,0-1,0-0,Nott'm Forest
24/08/2024,Tottenham,4-0,2-0,Everton
24/08/2024,Aston Villa,0-2,0-0,Arsenal
25/08/2024,Bournemouth,1-1,1-0,Newcastle
25/08/2024,Wolves,2-6,2-2,Chelsea
25/08/2024,Liverpool,2-0,1-0,Brentford
31/08/2024,Arsenal,1-1,1-0,Brighton
31/08/2024,Brentford,3-1,1-0,Southampton
31/08/2024,Everton,2-3,0-0,Bournemouth
31/08/2024,Ipswich,1-1,1-1,Fulham
31/08/2024,Leicester,1-2,0-1,Aston Villa
31/08/2024,Nott'm Forest,1-1,1-1,Wolves
31/08/2024,West Ham,1-3,1-2,Man City
01/09/2024,Chelsea,1-1,1-0,Crystal Palace
01/09/2024,Newcastle,2-1,1-0,Tottenham
01/09/2024,Man United,0-3,0-2,Liverpool
14/09/2024,Southampton,0-3,0-2,Man United
14/09/2024,Brighton,0-0,0-0,Ipswich
14/09/2024,Crystal Palace,2-2,0-1,Leicester
14/09/2024,Fulham,1-1,1-0,West Ham
14/09/2024,Liverpool,0-1,0-0,Nott'm Forest
14/09/2024,Man City,2-1,2-1,Brentford
14/09/2024,Aston Villa,3-2,1-2,Everton
14/09/2024,Bournemouth,0-1,0-0,Chelsea
15/09/2024,Tottenham,0-1,0-0,Arsenal
15/09/2024,Wolves,1-2,1-0,Newcastle
21/09/2024,West Ham,0-3,0-2,Chelsea
21/09/2024,Aston Villa,3-1,0-1,Wolves
21/09/2024,Fulham,3-1,2-0,Newcastle
21/09/2024,Leicester,1-1,0-1,Everton
21/09/2024,Liverpool,3-0,3-0,Bournemouth
21/09/2024,Southampton,1-1,1-0,Ipswich
21/09/2024,Tottenham,3-1,2-1,Brentford
21/09/2024,Crystal Palace,0-0,0-0,Man United
22/09/2024,Brighton,2-2,2-1,Nott'm Forest
22/09/2024,Man City,2-2,1-2,Arsenal
28/09/2024,Newcastle,1-1,0-1,Man City
28/09/2024,Arsenal,4-2,2-0,Leicester
28/09/2024,Brentford,1-1,1-0,West Ham
28/09/2024,Chelsea,4-2,4-2,Brighton
28/09/2024,Everton,2-1,0-1,Crystal Palace
28/09/2024,Nott'm Forest,0-1,0-0,Fulham
28/09/2024,Wolves,1-2,0-1,Liverpool
29/09/2024,Ipswich,2-2,1-2,Aston Villa
29/09/2024,Man United,0-3,0-1,Tottenham
30/09/2024,Bournemouth,3-1,3-0,Southampton
05/10/2024,Crystal Palace,0-1,0-1,Liverpool
05/10/2024,Arsenal,3-1,0-0,Southampton
05/10/2024,Brentford,5-3,4-2,Wolves
05/10/2024,Leicester,1-0,1-0,Bournemouth
05/10/2024,Man City,3-2,1-1,Fulham
05/10/2024,West Ham,4-1,2-1,Ipswich
05/10/2024,Everton,0-0,0-0,Newcastle
06/10/2024,Aston Villa,0-0,0-0,Man United
06/10/2024,Chelsea,1-1,0-0,Nott'm Forest
06/10/2024,Brighton,3-2,0-2,Tottenham
19/10/2024,Tottenham,4-1,1-1,West Ham
19/10/2024,Fulham,1-3,1-1,Aston Villa
19/10/2024,Ipswich,0-2,0-2,Everton
19/10/2024,Man United,2-1,0-1,Brentford
19/10/2024,Newcastle,0-1,0-1,Brighton
19/10/2024,Southampton,2-3,2-0,Leicester
19/10/2024,Bournemouth,2-0,0-0,Arsenal
20/10/2024,Wolves,1-2,1-1,Man City
20/10/2024,Liverpool,2-1,1-0,Chelsea
21/10/2024,Nott'm Forest,1-0,0-0,Crystal Palace
25/10/2024,Leicester,1-3,1-1,Nott'm Forest
26/10/2024,Aston Villa,1-1,0-0,Bournemouth
26/10/2024,Brentford,4-3,2-2,Ipswich
26/10/2024,Brighton,2-2,1-0,Wolves
26/10/2024,Man City,1-0,1-0,Southampton
26/10/2024,Everton,1-1,0-0,Fulham
27/10/2024,Chelsea,2-1,1-1,Newcastle
27/10/2024,Crystal Palace,1-0,1-0,Tottenham
27/10/2024,West Ham,2-1,0-0,Man United
27/10/2024,Arsenal,2-2,2-1,Liverpool
02/11/2024,Newcastle,1-0,1-0,Arsenal
02/11/2024,Bournemouth,2-1,1-0,Man City
02/11/2024,Ipswich,1-1,0-0,Leicester
02/11/2024,Liverpool,2-1,0-1,Brighton
02/11/2024,Nott'm Forest,3-0,1-0,West Ham
02/11/2024,Southampton,1-0,0-0,Everton
02/11/2024,Wolves,2-2,0-0,Crystal Palace
03/11/2024,Tottenham,4-1,0-1,Aston Villa
03/11/2024,Man United,1-1,0-0,Chelsea
04/11/2024,Fulham,2-1,0-1,Brentford
09/11/2024,Brentford,3-2,1-1,Bournemouth
09/11/2024,Crystal Palace,0-2,0-1,Fulham
09/11/2024,West Ham,0-0,0-0,Everton
09/11/2024,Wolves,2-0,1-0,Southampton
